Mes;Nom mes;Any;Nom_RP;Codi_RP;Nom_ABP;Títol Codi Penal;Tipus de fet;;;;;;;;
2;febrer;2021; Camp de Tarragona;RP05;Alt Camp - CB;Dels delictes relatius a l’ordenació del territori i l’urbanisme, la protecció del patrimoni històric i el medi ambient;Protecció de la flora, fauna i animals domèstics;;;;;;;;
3;març;2021; Camp de Tarragona;RP05;Alt Camp - CB;De les falsedats;Falsedats documentals;;;;;;;;
3;març;2021; Camp de Tarragona;RP05;Alt Camp - CB;De les falsedats;Falsificació de moneda i efectes timbrats;;;;;;;;
3;març;2021; Camp de Tarragona;RP05;Alt Camp - CB;De les lesions;Lesions;;;;;;;;
3;març;2021; Camp de Tarragona;RP05;Alt Camp - CB;De les tortures i altres delictes contra la integritat moral;Tracte degradant / vexatori;;;;;;;;
3;març;2021; Camp de Tarragona;RP05;Alt Camp - CB;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Apropiació indeguda;;;;;;;;
3;març;2021; Camp de Tarragona;RP05;Alt Camp - CB;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Danys;;;;;;;;
3;març;2021; Camp de Tarragona;RP05;Alt Camp - CB;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Estafes;;;;;;;;
3;març;2021; Camp de Tarragona;RP05;Alt Camp - CB;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Extorsió;;;;;;;;
3;març;2021; Camp de Tarragona;RP05;Alt Camp - CB;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Furt;;;;;;;;
3;març;2021; Camp de Tarragona;RP05;Alt Camp - CB;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Ocupació immobles;;;;;;;;
3;març;2021; Camp de Tarragona;RP05;Alt Camp - CB;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força;;;;;;;;
3;març;2021; Camp de Tarragona;RP05;Alt Camp - CB;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força interior vehicle;;;;;;;;
3;març;2021; Camp de Tarragona;RP05;Alt Camp - CB;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb violència i/o intimidació;;;;;;;;
3;març;2021; Camp de Tarragona;RP05;Alt Camp - CB;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Defraudacions de fluid elèctric i anàlogues;;;;;;;;
3;març;2021; Camp de Tarragona;RP05;Alt Camp - CB;Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili;Entrada a domicili aliè;;;;;;;;
